Time (Seconds),Amplitude (Volts),,Time (Seconds),,,,Amplitude (Volts)
457,0.40494365,,,,,,-0.40494365
458,0.39573005,,,,,,-0.39573005
459,0.40510818,,,,,,-0.40510818
460,0.4464049,,,,,,-0.4464049
461,0.45644113,,,,,,-0.45644113
462,0.4567702,,,,,,-0.4567702
463,0.4658193,,,,,,-0.4658193
464,0.47371668,,,,,,-0.47371668
465,0.45709926,,,,,,-0.45709926
466,0.4623642,,,,,,-0.4623642
467,0.46219966,,,,,,-0.46219966
468,0.45923814,,,,,,-0.45923814
469,0.45249245,,,,,,-0.45249245
470,0.44624037,,,,,,-0.44624037
471,0.4429498,,,,,,-0.4429498
472,0.44508865,,,,,,-0.44508865
473,0.4345588,,,,,,-0.4345588
474,0.44607583,,,,,,-0.44607583
475,0.4663129,,,,,,-0.4663129
476,0.46910986,,,,,,-0.46910986
477,0.47470385,,,,,,-0.47470385
478,0.48325935,,,,,,-0.48325935
479,0.46664193,,,,,,-0.46664193
480,0.44953093,,,,,,-0.44953093
481,0.44903734,,,,,,-0.44903734
482,0.44229168,,,,,,-0.44229168
483,0.4348879,,,,,,-0.4348879
484,0.4225482,,,,,,-0.4225482
485,0.41662517,,,,,,-0.41662517
486,0.42040935,,,,,,-0.42040935
487,0.41744784,,,,,,-0.41744784
488,0.42518067,,,,,,-0.42518067
489,0.41284102,,,,,,-0.41284102
490,0.41053763,,,,,,-0.41053763
491,0.42057386,,,,,,-0.42057386
492,0.43209088,,,,,,-0.43209088
493,0.44097543,,,,,,-0.44097543
494,0.45709926,,,,,,-0.45709926
495,0.4801333,,,,,,-0.4801333
496,0.4870435,,,,,,-0.4870435
497,0.4898405,,,,,,-0.4898405
498,0.49823147,,,,,,-0.49823147
499,0.48441106,,,,,,-0.48441106
500,0.46779364,,,,,,-0.46779364
501,0.4796397,,,,,,-0.4796397
502,0.46730006,,,,,,-0.46730006
503,0.44722754,,,,,,-0.44722754
504,0.43933016,,,,,,-0.43933016
505,0.43702674,,,,,,-0.43702674
506,0.4464049,,,,,,-0.4464049
507,0.4510117,,,,,,-0.4510117
508,0.43340713,,,,,,-0.43340713
509,0.4345588,,,,,,-0.4345588
510,0.43916562,,,,,,-0.43916562
511,0.4503536,,,,,,-0.4503536
512,0.46006078,,,,,,-0.46006078
513,0.46910986,,,,,,-0.46910986
514,0.46137702,,,,,,-0.46137702
515,0.45134076,,,,,,-0.45134076
516,0.45430228,,,,,,-0.45430228
517,0.46104795,,,,,,-0.46104795
518,0.447063,,,,,,-0.447063
519,0.43340713,,,,,,-0.43340713
520,0.44624037,,,,,,-0.44624037
521,0.44920188,,,,,,-0.44920188
522,0.4378494,,,,,,-0.4378494
523,0.43373618,,,,,,-0.43373618
524,0.41925764,,,,,,-0.41925764
525,0.41415724,,,,,,-0.41415724
526,0.4230418,,,,,,-0.4230418
527,0.42156103,,,,,,-0.42156103
528,0.41580254,,,,,,-0.41580254
529,0.4075761,,,,,,-0.4075761
530,0.40083042,,,,,,-0.40083042
531,0.40560177,,,,,,-0.40560177
532,0.42847127,,,,,,-0.42847127
533,0.44739208,,,,,,-0.44739208
534,0.45923814,,,,,,-0.45923814
535,0.4715778,,,,,,-0.4715778
536,0.46088344,,,,,,-0.46088344
537,0.47075516,,,,,,-0.47075516
538,0.4921439,,,,,,-0.4921439
539,0.4932956,,,,,,-0.4932956
540,0.48391747,,,,,,-0.48391747
541,0.48441106,,,,,,-0.48441106
542,0.48770162,,,,,,-0.48770162
543,0.47733632,,,,,,-0.47733632
544,0.4732231,,,,,,-0.4732231
545,0.47421026,,,,,,-0.47421026
546,0.4659838,,,,,,-0.4659838
547,0.4743748,,,,,,-0.4743748
548,0.48572728,,,,,,-0.48572728
549,0.49132127,,,,,,-0.49132127
550,0.5002058,,,,,,-0.5002058
551,0.5194557,,,,,,-0.5194557
552,0.51682323,,,,,,-0.51682323
553,0.51353264,,,,,,-0.51353264
554,0.5194557,,,,,,-0.5194557
555,0.5214301,,,,,,-0.5214301
556,0.5118874,,,,,,-0.5118874
557,0.50876135,,,,,,-0.50876135
558,0.5109002,,,,,,-0.5109002
559,0.5148489,,,,,,-0.5148489
560,0.52537876,,,,,,-0.52537876
561,0.5245561,,,,,,-0.5245561
562,0.5209365,,,,,,-0.5209365
563,0.5308082,,,,,,-0.5308082
564,0.52307534,,,,,,-0.52307534
565,0.5153425,,,,,,-0.5153425
566,0.51863307,,,,,,-0.51863307
567,0.5077742,,,,,,-0.5077742
568,0.49313107,,,,,,-0.49313107
569,0.49181485,,,,,,-0.49181485
570,0.49823147,,,,,,-0.49823147
571,0.47865254,,,,,,-0.47865254
572,0.46779364,,,,,,-0.46779364
573,0.46219966,,,,,,-0.46219966
574,0.45347962,,,,,,-0.45347962
575,0.46170607,,,,,,-0.46170607
576,0.48161405,,,,,,-0.48161405
577,0.49099222,,,,,,-0.49099222
578,0.4761846,,,,,,-0.4761846
579,0.4766782,,,,,,-0.4766782
580,0.48079142,,,,,,-0.48079142
581,0.47289404,,,,,,-0.47289404
582,0.4817786,,,,,,-0.4817786
583,0.48885334,,,,,,-0.48885334
584,0.49691525,,,,,,-0.49691525
585,0.50612885,,,,,,-0.50612885
586,0.50662243,,,,,,-0.50662243
587,0.5046481,,,,,,-0.5046481
588,0.50892586,,,,,,-0.50892586
589,0.51353264,,,,,,-0.51353264
590,0.509913,,,,,,-0.509913
591,0.5201138,,,,,,-0.5201138
592,0.524227,,,,,,-0.524227
593,0.5214301,,,,,,-0.5214301
594,0.50892586,,,,,,-0.50892586
595,0.48803067,,,,,,-0.48803067
596,0.47355214,,,,,,-0.47355214
597,0.4817786,,,,,,-0.4817786
598,0.49658617,,,,,,-0.49658617
599,0.50596434,,,,,,-0.50596434
600,0.50316733,,,,,,-0.50316733
601,0.5010285,,,,,,-0.5010285
602,0.498396,,,,,,-0.498396
603,0.48918238,,,,,,-0.48918238
604,0.4865499,,,,,,-0.4865499
605,0.4914858,,,,,,-0.4914858
606,0.4727295,,,,,,-0.4727295
607,0.46993253,,,,,,-0.46993253
608,0.47684273,,,,,,-0.47684273
609,0.4745393,,,,,,-0.4745393
610,0.47404572,,,,,,-0.47404572
611,0.47552648,,,,,,-0.47552648
612,0.46845174,,,,,,-0.46845174
613,0.4817786,,,,,,-0.4817786
614,0.4903341,,,,,,-0.4903341
615,0.50201565,,,,,,-0.50201565
616,0.5184685,,,,,,-0.5184685
617,0.5273531,,,,,,-0.5273531
618,0.53064364,,,,,,-0.53064364
619,0.523898,,,,,,-0.523898
620,0.52669495,,,,,,-0.52669495
621,0.52537876,,,,,,-0.52537876
622,0.5085968,,,,,,-0.5085968
623,0.49346015,,,,,,-0.49346015
624,0.47898158,,,,,,-0.47898158
625,0.4625287,,,,,,-0.4625287
626,0.4309392,,,,,,-0.4309392
627,0.39655268,,,,,,-0.39655268
628,0.37911263,,,,,,-0.37911263
629,0.38108698,,,,,,-0.38108698
630,0.38108698,,,,,,-0.38108698
631,0.36841828,,,,,,-0.36841828
632,0.36216617,,,,,,-0.36216617
633,0.36841828,,,,,,-0.36841828
634,0.36776015,,,,,,-0.36776015
635,0.36693752,,,,,,-0.36693752
636,0.35920465,,,,,,-0.35920465
637,0.3600273,,,,,,-0.3600273
638,0.35788843,,,,,,-0.35788843
639,0.3508137,,,,,,-0.3508137
640,0.3485103,,,,,,-0.3485103
641,0.33617064,,,,,,-0.33617064
642,0.3289314,,,,,,-0.3289314
643,0.33682877,,,,,,-0.33682877
644,0.33946124,,,,,,-0.33946124
645,0.33090574,,,,,,-0.33090574
646,0.3164272,,,,,,-0.3164272
647,0.3065555,,,,,,-0.3065555
648,0.29948077,,,,,,-0.29948077
649,0.28385055,,,,,,-0.28385055
650,0.2530837,,,,,,-0.2530837
651,0.23942785,,,,,,-0.23942785
652,0.21754555,,,,,,-0.21754555
653,0.19303082,,,,,,-0.19303082
654,0.18414627,,,,,,-0.18414627
655,0.20471233,,,,,,-0.20471233
656,0.18463986,,,,,,-0.18463986
657,0.15486021,,,,,,-0.15486021
658,0.13939455,,,,,,-0.13939455
659,0.10764057,,,,,,-0.10764057
660,0.08937793,,,,,,-0.08937793
661,0.06617944,,,,,,-0.06617944
662,0.038867746,,,,,,-0.038867746
663,0.009910774,,,,,,-0.009910774
664,-0.002428841,,,,,,0.002428841
665,-0.016084682,,,,,,0.016084682
666,-0.028917879,,,,,,0.028917879
667,-0.033853725,,,,,,0.033853725
668,-0.040105794,,,,,,0.040105794
669,-0.042902775,,,,,,0.042902775
670,-0.04931937,,,,,,0.04931937
671,-0.047345035,,,,,,0.047345035
672,-0.056229554,,,,,,0.056229554
673,-0.061165396,,,,,,0.061165396
674,-0.061165396,,,,,,0.061165396
675,-0.061658982,,,,,,0.061658982
676,-0.01707185,,,,,,0.01707185
677,0.038703214,,,,,,-0.038703214
678,0.047752272,,,,,,-0.047752272
679,0.05745944,,,,,,-0.05745944
680,0.07605114,,,,,,-0.07605114
681,0.095630005,,,,,,-0.095630005
682,0.11751228,,,,,,-0.11751228
683,0.1275485,,,,,,-0.1275485
684,0.1263968,,,,,,-0.1263968
685,0.119486615,,,,,,-0.119486615
686,0.12195454,,,,,,-0.12195454
687,0.122448124,,,,,,-0.122448124
688,0.11586699,,,,,,-0.11586699
